details,filename_new
forklift driver midland   forklift driver unite case inc  present  high school equivalent miguel de cervantes saavedra,Resume ForkliftDriver_2308
juanita martinez loss intake rep pma company bethlehem pa continue grow leadership knowledge interact share team member colleague help develop world class customer service customer   data entry processor pma company allentown pa  present  image transfer enter provider bill system verify cod correctly score percent ly quality percent production multi task system verify ensure info correct man comp claim high speed scanner scan bill system file provider bill numerically enter system enter verify customer provider info system med pay exception enter provider bill system verify icd code cpt code amount adjustment correct customer service rep customer service rep telerx allentown pa  answer inbound call center issue coupon refund customer happy product start insurance claim process need answer incoming mail email assist quality assurance team member  bsn nursing desales university saucon valley pa business lehigh valley college general study northampton community college  able type wpm,Resume JuanitaMartinez_13486
supervisor supervisor sheetz parma oh d     supervisor sheetz parma oh  present server big boy cleveland oh  manager taco bell cleveland oh cook cashier maintain high standard customer service high volume fast paced operation communicate clearly positively coers follow procedure safe food preparation assembly presentation perform stock order keep inventory control stock rotation build loyal clientele friendly interaction consistent appreciation cross train coordinated scheduling team member ensure seamless service participate annual board health inspection  swing shift accommodate company need performed end  sale prepare register  transaction manage employee customer relation maintain customer satisfaction  cleveland state university present james ford rhodes high school  fluent microsoft office management  able read follow write verbal direction ohio board health regulation knowledge great problem solve  impeccable math  outstanding listener strive continuously improve  self motivate self starter thrives team environment ,Resume Supervisor_24408
service engineer io developer long island ny d     service engineer source ray inc ronkonkoma ny  present  engineer assist customer solve variety issue portable x ray machine source block provide train phone online support student tutor university evansville guide assisted student electronics order improve academic performance  io developer career foundry new york ny b electrical engineering university evansville evansville electronics communication technology instituto cnico salesiano link http electricdev io additional information project ios development course careerfoundry build multiple apps swift xcode learn polish advanced io concept fire fight robot design program build autonomous fire fight robot capable navigating maze locate extinguish fire participate international competition trinity college earn th place overall st north american team senior division,Resume ServiceEngineer_16980
victorria martinez account intern san antonio strong leadership ability demonstrate assertiveness delegation task accomplish goal strong verbal communication university professor fellow student  group setting  knowledge accounting software quickbooks engagement cch tax proficient microsoft office word excel powerpoint familiar sap adobe   file form   d     accounting intern atkg llp san antonio  examine analyze past year tax return prepare current return cch tax software track billable hour organization obtain weekly cpe hour attend session taught staff manager partner area oil gas irs examination affordable care act interact senior management daily basis review set goal better understand client industry meet recruit marketing team provide promotional idea help create college campus culture student athlete volleyball team st mary university san antonio   punctually attend participate team activity daily practice team road trip game professionally interact team coach ensure ncaa rule guideline follow maintain strong grade point average commitment academic ensure eligibility season hr intern becton dickinson company san antonio  provide support internal customer process request create case talent management master data total reward organizational management team sap assist annual pension audit responsible gathering require material vendor communicate daily auditor organize data accordingly microsoft excel help revise new hire orientation curriculum find creative innovate way memory game quiz revamp program future employee increase company understanding policy temp tsc staff grand prairie  organized order different category pull order process ensure shipment  interact warehouse manager lockheed martin personnel account manager weekly conference call regard product shipping responsible answer warehouse phone coordinate shipping warehouse dock pick delivery  bachelor business administration management account st mary university san antonio,Resume VictorriaMartinez_7727
consultant consultant core bts inc pottstown pa      consultant core bts inc present consult project enterprise client csl behring poker star st luke hospital net sand casino interior specialist inc rentokil partner cio omne solution llc   mobile development web development project management business net net infrastructure environment objective c php sergeant e united state marine corp reserve   install configure manage data net system net administration cisco router switch system administration ms exchange active directory virtualization vmware esxi station desktop user support chief data section united state marine corp reserve   train jr data net specialist marine  master business administration entrepreneurship certificate west chester university west chester pa  associate science management information system montgomery county community college blue bell pa  additional information  languages java android c self teach obj c self teach php self teach javascript markup html cs agile methodology git revision control net troubleshoot topology design configuration cisco layer device net acls vlans virtual platform vmware esxi vsphere client hyper v citrix xencloud platform xencenter,Resume ITConsultant_47848
senior customer service representative delano obtain challenging career room advancement motivate individual goal orient self starter bilingual    progressive  environment highlight qualification basic train certificate safety train supervisory training certificate degree emergency service safety management   senior customer service representative xerox business service llc bakersfield  present year  responsibility process financial aid application data entry update document inbound outbound call multitasking  different program  analytical  professional conduct trustworthy dependable shipping clerk wonderful halo delano    check truck verify ship order deal dispatcher verify correct shipment community manager conam management corp delano   responsibility tour prospect resident complete lease packet deal vendor administrative duty accomplishment learn manange apartment home community deal vendor prioritize  assertiveness customer service cash handle purchase order manager packer porterville   year  merchandise packaging route sale manage route sale invoice manage employee  schedule fax weekly sale report manage employee instant auto insurance csr delano   year  delano payment answer phone file daily sale report deposit transact auto insurance market sale cashier customer service delano ranch market delano   year  cashier debit credit transaction check cash light stock duty clean  area direct care staff office assistant positive lifestyle delano   year  care elderly disable adult administer medication document shift  answer phone file patient medical record housekeep duty  associate science san joaquin valley college bakersfield high school diploma valley high school delano  bilingual multitask  pressure great customer service  extensive cash handle  medical terminology vital sign train patient chart additional information  abilities excellent customer service  computer literate  pressure previous manage  extensive cash handle  word excel outlook,Resume SeniorCustomerServiceRepresentative_34676
dominique seide pre school volunteer bellport ny      pre school volunteer w g e le moyne college  responsible safety security child age year old implemented daily activity encourage incorporate child suggestion tutor w g e le moyne college syracuse ny  tutor high school student mathematics relevant proficient microsoft window word excel power point internet treasurer w g e le moyne college  prepare budget semester activity organizational finance review committee document presented accurate ly report board member responsible maintain organization financial record date accurate food associate w g e le moyne college syracuse ny  cashier w g e le moyne college new york ny   serve ice cream treat customer efficiently complete sale transaction maintain proper cash accountability finance intern w g e le moyne college syracuse ny  prepare ly account reconciliation assist controller special project provide support account payable account receivable department receptionist  youth program bronx ny   update appointment calendar schedule provide exceptional customer service client co er cashier wildlife conservation society central park zoo manhattan ny   serve customer provide clean support volunteer people action syracuse ny  bachelor science finance le moyne college syracuse ny additional information  application able communicate effectively responsible self motivate resourceful hard  highly organize strong problem solver capable handle multiple task team player  independently,Resume DominiqueSeide_39792
customer service sioux fall sd   customer service hardees  customer service potbelly year cook prep mcdonalds   diploma ombidsman sioux fall sd,Resume Customerservice_10214
equipment accountability element supervisor obtain responsible challenge  organization allow learn new technology s utilize previous  effectively demonstrate interpersonal communication  professional environment opportunity growth improvement current ability      equipment accountability element supervisor travis afb  present provide material management support guidance control accountability equipment asset air force equipment system responsible interfacing communicate equipment management office regard equipment management movement advise management equipment guidance procedure affect lose steal damage destroyed government property asset utilize air force equipment management system afems query item stock number data ensure equipment asset enter material management system clearly unique item identifier identification mark u property oversight semi annual equipment inventory supplemental equipment train instruction provide secure storage critical aircraft part equipment value excess million dollar conduct annual visit organizational equipment account submit copy report management department defense courier travis afb   perform dod custodian safeguard transport highly classified time sensitive arm force courier material equipment asset diplomatic material location worldwide provide mission support coordinate global mission plan courier station worldwide provide adequate protection material equipment asset receipt delivery storage visually identify verified item identification number receipt deliver material equipment asset maintain continuous surveillance material equipment asset custody courier route assure positive identification arm force courier multiple process procedure positive identification courier delivery address secret control officer prior release material equipment asset custody receive journeyman incirlik air base tr   turkey utilized standard base supply system sb receive process part supply equipment value excess million dollar unloaded segregate mixed cargo container designate supply account distribute asset appropriate location identify inspected property determine condition receive perform shelf life inspection stock ensure process follow perform periodic stock inventory cycle count ensure appropriate level maintain ensure timely correction discrepancy conduct quality control audit priority routine part supply equipment monitor supply discrepancy report operate maintain warehouse equipment vehicle certify safe secure manner readiness spar package journeyman kadena air base jp   japan provide warehouse support handle excess million dollar readiness spare package rsp essentially spare repair part kit deployable air force aircraft utilized standard base supply system sb supply asset track system sat process track part allocation transaction receive store issue part equipment use wide variety fix wing rotary wing aircraft base closely monitor shelf life readiness spare package perform functional check electrostatic sensitive device esd ensure maximum serviceability operate maintain warehouse equipment vehicle certify safe secure manner flight service center apprentice kadena air base jp   japan provide supply support fix wing rotary wing aircraft associate unit aircraft responsible processing maintenance request oversee transportation logistics asset deliver repairable part maintenance facility monitor standard asset track system sat track transaction movement issue time compliance technical order tcto kit process base local manufacturer request operate maintain warehouse equipment vehicle certify safe secure manner  certificate principle supervision management airman lwadership school turkey   associate  science logistics resource community college air force maxwell afb al   certificate logists material management material management apprentice course lackland afb   diploma general study riverbank high school riverbank   microsoft office year forklift operator year tractor trailer operator year conflict management year operation management year safety year inventory management year stock year schedule appointment year military service service country unite state branch united state air force rank ssgt  present plus year logistics supply chain management separate air force  commendation air force commedation medal air force achievement medal air force good conduct medal certification cpr  additional information knowledge s ability material management logistics management configuration management transportation operation operation plan mission support arm force courier service secret clearance classify material situational analysis conflict resolution quality assurance integrate logistics system equipment custodian equipment trainer,Resume EquipmentAccountabilityElementSupervisor_39475
distributor sale representative killeen   distributor sale representative advocare killeen  present responsibility engage client phone call stay good standing client accomplishment assist client achieve health goal product   client ability decision  efficiently organization  self motivation  pilates director assistant pilates champion houston   responsibility assist client equipment sanitize equipment filing maintain client chart performance confirm appointment assist phone post client payment perform deed request director sale representative salad master colorado spring co   responsibility prepare food sample cook demonstration input customer data salad master database schedule appointment demonstration perform demonstration customer home customer guest host carrabba italian grill houston   staff member fri nite live houston    associate general study central texas college killeen veterinary assistant certification gatlin  service colorado spring co high school diploma klein high school spring  wpm,Resume DistributorSalesRepresentative_15904
lavonta johnson lavonta johnson respective intelligent young man year old year weld  mig stick tig plate believe  team get  safely manner weldon nc year   mig tig stick weld  blueprint reading        welder robert ppm kresta industry wilson iron   weld degree halifax community college  weld year blueprint read year forklift operator year certification forklift certify pound,Resume LavontaJohnson_15176
ronald haynes newark nj d     assistant manager duane reade jersey city nj  present responsibility track record inventory management absolute understand procurement standard efficient administrative ability proven keep subordinate staff control get best  posse leadership  participative empowerment style superbability shelf update monitor competitive strategy business improvement assistant manager newark airport terminal c newark nj   responsibility unlimited customer service come go passenger merchandise ensure store stock assistant manager wendy linden nj   responsibility delegate task effectively coordinate activity cater kitchen staff handle pressure fast paced commercial operation market restaurant publicity manage group diverse staff different ability  malcolm x shabazz high school newark nj  excellent customer service  ability deal kind customer personality great interpersonal  friendly courteous polite nature remarkable management  run promotional campaign ability  team certification security guard license  ,Resume RonaldHAynes_4727
rhonda bell demand planner health atlanta ga demand planner expertise plan procurement forecast inventory management product lifecycle management supply chain performance analysis accomplish assist organization achieve maximum inventory flow proper product coverage supply chain efficiency strong cross functional collaborator excellent analytical problem solve  expertise include demand plan management supply chain logistics train mentor vendor management order management team development purchase root cause analysis data management   demand planner health benchmark brand inc develop demand plan product assortment forecast planning system manage team people consist associate planner purchase coordinator conduct demand analysis understand pattern gain insight review sale market trend recommend inventory flow achieve product coverage supply chain efficiency ensure appropriate inventory level meet sale goal review business provide timely reforecasting sale inventory need represent skus category increase total area sale previous year include category double digit increase facilitate bi weekly vendor meeting volume vendor manage purchase order flow address inventory issue matter maintain higher fill rate product assortment strategized product development team create new product develop plan bring market develop phase plan current product necessary manage business importing product world include forecast logistics receive product schedule meet sale need lead wholesale division business include procurement raw material production schedule product package logistics planner health intimate apparel sock hosiery benchmark brand inc partner merchant provide input preseason financial plan category manage health intimate apparel sock hosiery team analyst purchase coordinator include hire performance evaluation career development analyzed business develop forecast order catalog product react trend catalog circulation change manage inventory flow achieve ly product coverage turnover goal supply chain efficiency supervise purchase coordinator ensure order flow address customer backorders participate catalog proof ensure adequate inventory coverage responsible category facilitate weekly meeting merchant team review sale current inventory level future opportunity purchase analyst benchmark brand inc develop initial projection order division  manage inventory flow achieve product coverage desire turn create standardized process communicate return vendor shipment include vendor warehouse accounting maintain timely schedule reforecasting sale inventory need product achieve fill rate cover cover feature page catalog item week catalog launch increase sale year year effective planning accurate inventory level model stock manager shoe benchmark brand inc complete weekly key item recap report include current item model react sale trend analyze bulk quantity purchase order fill current sale trend provide sale projection vendor manage label requirement upc code distribution center vendor upton department store planning assistant merchandise floater assistant buyer  bachelor science fashion merchandise university montevallo montevallo al link http www linkedin com rhondahbell,Resume RhondaBell_14049
packer assistant manager dress barn lima oh forth knowledge acquire enhance company      packer z meat bluffton oh  present responsibility pack assistant manager dress barn lima oh present provide assistant store leader inventory control shrink increase sale open close store daily operation store open charge customer merchandizing store store manager lid lima oh increased sale year lower shrink suggest new product increase earnings award highest sale company perfect audit train new employee store manager merchandizing store customer service representative sky bank lima oh daily deposit customer open new account get perfect score secret shopper report audit atm vault bring new money store manager  wireless lima oh set new account train new employee run business merchandizing answer question,Resume Packer_2004
backup dept manager,Resume SalesAssociate_49703
united state army clerk fort myers fl d     united state army   warehouse er inventory specialist forklift operator  associate science diagnostic medical sonography keiser university fort myers fl military service service country unite state branch united state army rank e  present automate logistics specialist additional information samse certify hold active dod security clearance outstanding analytical problem solve critical thinking ability decisive proactive strong organizational communication write oral interpersonal  able maintain accountability inventory united state army automate logistics specialist establish maintained stock record document inventory material control account supply report maintain historical file complete administrative report perform property transfer receipt issue storage customer unit unload unpacks inspect segregate pelletizes store incoming shipment equipment process request turn document direct support level warehouse section ensure material readiness conduct analysis equipment hand requirement class ix viii vii iv ii,Resume UnitedStatesArmy_46608
